id,category,construct,definition_evidence,value_type,city,right,year,thesis_location,evidence_type,notes
CC_ATH_01,Constitutional Capacity,Legal competence / municipal autonomy,"Local self-government constitutionally recognised (Art. 102) with administrative and financial independence, but scope of competences left to statute and filtered through diffuse constitutional review by the Council of State, Court of Audit, and ordinary courts",qualitative-ordinal (constrained),Athens,cross-cutting,n/d,"Ch VI, Part I.3, p.243",legal interpretation,Centralised financing and strict fiscal oversight mean constitutional guarantees rarely translate into substantive discretion
CC_TUR_01,Constitutional Capacity,Legal competence / regional mediation,"Art. 117 of the Italian Constitution situates municipalities within a regionalised framework; the Corte costituzionale has sometimes protected local discretion in education and social services but frequently upheld regional primacy in health and housing",qualitative-ordinal (intermediate),Turin,cross-cutting,n/d,"Ch VI, Part I.3, p.243-244",legal interpretation,Municipal space mediated by regional law court doctrine and crisis-era budgetary rules; varies by right (stronger in education than housing/health)
CC_BCN_01,Constitutional Capacity,Legal competence / relational autonomy,"Art. 140 of the Spanish Constitution provides the clearest textual recognition of municipal autonomy reaffirmed repeatedly by the Constitutional Court, but autonomy remains relational since the Comunidades Autonomas exercise decisive control over housing health and education",qualitative-ordinal (strong-relational),Barcelona,cross-cutting,n/d,"Ch VI, Part I.3, p.244",legal interpretation,Catalonia's devolved framework enables tools such as pre-emption rights in housing and anti-segregation measures in education
CONSTR_ALL_01,Constraint,Fiscal constraint (austerity crisis),"Balanced-budget requirements debt brakes and borrowing-approval procedures curtailed municipal spending autonomy during the financial crisis even in states with entrenched decentralisation",qualitative,All three cities,cross-cutting,~2008-2015 (Eurozone crisis period; exact years not specified in this passage),"Ch VI, Part I.1, p.240",secondary literature (Cucca and Ranci),"Feeds the proposed 'Crisis Autonomy Loss' indicator (spec Sec.6) -- thesis provides the qualitative mechanism, not a quantified score"
CONSTR_ALL_02,Constraint,Fiscal/administrative constraint (COVID recentralisation),COVID-19 pandemic triggered recentralisation of decision-making in health and social services as emergency legislation reallocated local discretion to national coordination,qualitative,All three cities,health,2020-2021,"Ch VI, Part I.1, p.240",secondary literature,Same crisis-autonomy dynamic as CONSTR_ALL_01 applied to the pandemic
CONCEPT_INSTIT_01,Cross-cutting/Core thesis argument,Institutionalisation as the decisive variable,"Municipal innovation proves transformative only when given a clear legal basis stable finance and workable inter-level coordination so that practices endure beyond pilots election cycles and crises",thesis core claim (not a scored indicator),All three cities,cross-cutting,n/d,"Ch VI, opening synthesis, p.239",thesis argument,"This is the thesis's central theoretical payoff. Directly underpins the proposed 'Institutionalisation Score' (spec Sec.6) -- should be treated as the conceptual anchor for that indicator's validation"
COMMIT_TUR_01,Commitment,Policy commitment / institutionalisation example,Turin's neighbourhood hubs demonstrate municipal innovation enduring specifically because they are embedded in regional statutes and integrated into national systems,qualitative (high commitment / durable),Turin,cross-cutting,n/d,"Ch VI, Part II.1, p.247",documentary,Positive institutionalisation example -- contrast case for COMMIT_ATH_01
COMMIT_BCN_01,Commitment,Regulatory-instrument commitment,Barcelona combines service delivery with market regulation deploying tools such as pre-emption rights and rent caps,qualitative (high commitment),Barcelona,housing,n/d,"Ch VI, Part II.1, p.247",documentary,Litigation has curtailed aspects of this housing regulation -- commitment does not equal durability
COMMIT_ATH_01,Commitment,Fragmented/pilot commitment,"Athens has experimented with small-scale projects: renovating derelict municipal buildings, subsidising rents for young adults, and piloting social leasing programmes financed by the Recovery and Resilience Facility",qualitative (moderate/fragmented commitment),Athens,housing,n/d,"Ch V conclusion / Ch VI, p.233 and 247",documentary,Explicitly reliant on external funding and national authorisation -- fragility flagged by the thesis itself
IMPACT_COV_HOU_ATH,Impact - Coverage,Housing coverage,Athens struggles to convert vacancies into affordable supply; limited stock remains the bottleneck,qualitative,Athens,housing,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_HOU_TUR,Impact - Coverage,Housing coverage,Turin faces chronic under-provisioning of public housing,qualitative,Turin,housing,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_HOU_BCN,Impact - Coverage,Housing coverage,Barcelona has grown its regulatory tools to expand stock but still confronts market pressure,qualitative,Barcelona,housing,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_HEA_TUR,Impact - Coverage,Health coverage,Regionalised provision supports coverage in Turin but leaves neighbourhood-level inequities,qualitative,Turin,health,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_HEA_BCN,Impact - Coverage,Health coverage,Barcelona integrates municipal health provision within a broader consortial framework,qualitative,Barcelona,health,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_HEA_ATH,Impact - Coverage,Health coverage,Athens relies on municipal and solidarity infrastructures to patch coverage gaps,qualitative,Athens,health,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_EDU_ATH,Impact - Coverage,Education coverage,Athens has scaled transitional classes for migrant children but faces geographical clustering,qualitative,Athens,education,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_COV_EDU_TUR,Impact - Coverage,Education coverage,"Turin uses neighbourhood schools to integrate newcomers with uneven results; ~40% of families enrol children outside their assigned district, reproducing informal segregation even where formal coverage exists",quantitative (40% -- the one directly-quantified figure found so far),Turin,education,n/d,"Ch III (education), p.98 / referenced Ch VI, p.249",documentary + academic study (Fondazione per la Scuola report),"Direct quantitative data point -- rare in this thesis, most findings are qualitative/documentary"
IMPACT_COV_EDU_BCN,Impact - Coverage,Education coverage,Barcelona deploys broader anti-segregation programmes backed by regional competences,qualitative,Barcelona,education,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_HOU_BCN,Impact - Accessibility,Housing accessibility (affordability),Barcelona's regulatory instruments on rents and short-term rentals show how municipal authority can soften price pressures,qualitative,Barcelona,housing,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_HOU_TUR,Impact - Accessibility,Housing accessibility,Turin leans more on eviction-prevention and tenant support than on price regulation,qualitative,Turin,housing,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_HOU_ATH,Impact - Accessibility,Housing accessibility,Athens depends on national measures and targeted local funds with limited direct leverage over prices,qualitative,Athens,housing,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_HEA_BCN,Impact - Accessibility,Health accessibility,Barcelona's embedding of municipal services eases access for marginalised groups,qualitative,Barcelona,health,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_HEA_TUR_ATH,Impact - Accessibility,Health accessibility,Turin and Athens continue to struggle with access barriers for migrants and uninsured residents,qualitative,Turin and Athens,health,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_EDU_TUR_BCN,Impact - Accessibility,Education accessibility,Turin's community-based outreach and Barcelona's regional support for school choice mitigate exclusion from enrolment procedures,qualitative,Turin and Barcelona,education,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_ACC_EDU_ATH,Impact - Accessibility,Education accessibility,Athens often relies on NGOs to bridge access gaps in enrolment,qualitative,Athens,education,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_INC_ATH,Impact - Inclusion,Inclusion via solidarity networks,"Athens' reliance on solidarity networks and NGOs shows inclusion 'from below', compensating for thin statutory guarantees but remaining fragile since it depends on voluntary or project-based initiatives",qualitative,Athens,cross-cutting,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_INC_TUR,Impact - Inclusion,Inclusion via neighbourhood model,Turin's neighbourhood model knits services together and fosters participation though scaling inclusively requires additional resources,qualitative,Turin,cross-cutting,n/d,"Ch VI, Part II.2, p.249",thesis synthesis,
IMPACT_INC_BCN,Impact - Inclusion,Inclusion via institutional mainstreaming,"Barcelona mainstreams inclusion through institutional tools: anti-eviction taskforces, migrant schooling support, neighbourhood health programmes",qualitative,Barcelona,cross-cutting,n/d,"Ch VI, Part II.2, p.249-250",thesis synthesis,
MIGR_ALL_01,Cross-cutting/Migration,Municipal practice vs national restriction,"Municipal practice frequently moves in the opposite direction from restrictive national frameworks: schools enrol children regardless of status, clinics attend to the uninsured, housing services intervene to prevent destitution",qualitative,All three cities,cross-cutting,n/d,"Ch VI, Part II.3, p.250",thesis synthesis,Core evidence for the Universalism Score proposed in spec Sec.5.5
MIGR_ALL_02,Cross-cutting/Migration,Co-production accountability risk,"Outsourcing services to civil society without clear standards can leave marginalised groups subject to 'postcode lotteries'; durable models formalise universality via ordinances, published data, and multi-year contracting frameworks",qualitative,All three cities,cross-cutting,n/d,"Ch VI, Part II.3, p.250",thesis argument,Directly relevant to the Administrative Conditionality and Institutionalisation indicators (spec Sec.5.5 and Sec.6)
OUTCOME_ATH_01,Outcome,Short-term-rental / touristification pressure,"Between 2014 and 2021 approximately 34,000 housing units in Athens were listed on Airbnb at least once, initially concentrated in tourist districts (Acropolis, Psyrri) before expanding into residential neighbourhoods (Exarcheia, Kypseli)",quantitative,Athens,housing,2014-2021,"Ch V, p.233 (referenced in Ch VI)",academic study (Chica-Olmo et al. 2021),Direct quantitative figure -- good candidate for the outcome_variables field in impact.csv
